:START_ID(Ingredient),:END_ID(Effect),type,evidence_type,graph_score:float,paper_count:int
CERAMIDE NP,BARRIER_REPAIR,improves,pubmed_evidence,0.494696,5
HYALURONIC ACID,ANTI_AGING,improves,pubmed_evidence,0.451076,1
HYALURONIC ACID,PHOTOPROTECTIVE,improves,pubmed_evidence,0.451076,1
HYALURONIC ACID,HYDRATING,improves,pubmed_evidence,0.371564,1
HYALURONIC ACID,BARRIER_REPAIR,improves,pubmed_evidence,0.392042,1
MADECASSOSIDE,SOOTHING,reduces,pubmed_evidence,0.371564,2
PANTHENOL,HYDRATING,improves,pubmed_evidence,0.64815,2
PANTHENOL,BARRIER_REPAIR,improves,pubmed_evidence,0.632335,2
PANTHENOL,SOOTHING,improves,pubmed_evidence,0.392042,1
PANTHENOL,SOOTHING,reduces,pubmed_evidence,0.392042,1
PANTHENOL,MOISTURE_RETENTION,reduces,pubmed_evidence,0.392042,1
TRANEXAMIC ACID,DEPIGMENTING,improves,pubmed_evidence,0.392042,1
CERAMIDE NP,SOOTHING,improves,pubmed_evidence,0.392042,1
UREA,HYDRATING,improves,pubmed_evidence,0.307485,1
ASCORBIC ACID,DEPIGMENTING,improves,pubmed_evidence,0.470004,1
BAKUCHIOL,ANTI_AGING,improves,pubmed_evidence,0.587787,1
BAKUCHIOL,PHOTOPROTECTIVE,improves,pubmed_evidence,0.587787,1
BAKUCHIOL,ANTI_AGING,prevents,pubmed_evidence,0.329304,1
BAKUCHIOL,PHOTOPROTECTIVE,prevents,pubmed_evidence,0.329304,1
BAKUCHIOL,ANTI_AGING,reduces,pubmed_evidence,0.587787,1
BAKUCHIOL,PHOTOPROTECTIVE,reduces,pubmed_evidence,0.587787,1
BAKUCHIOL,ANTI_INFLAMMATORY,reduces,pubmed_evidence,0.329304,1
RETINOL,ANTI_AGING,reduces,pubmed_evidence,0.175633,1
RETINOL,PHOTOPROTECTIVE,reduces,pubmed_evidence,0.175633,1
TRANEXAMIC ACID,DEPIGMENTING,prevents,pubmed_evidence,0.375693,1
ASCORBIC ACID,ANTI_AGING,improves,pubmed_evidence,0.693147,1
ASCORBIC ACID,PHOTOPROTECTIVE,improves,pubmed_evidence,0.693147,1
CERAMIDE NP,SOOTHING,reduces,pubmed_evidence,0.392042,1
KOJIC ACID,DEPIGMENTING,improves,pubmed_evidence,0.392042,1
BETAINE,BARRIER_REPAIR,prevents,pubmed_evidence,0.371564,1
CARNOSINE,BARRIER_REPAIR,reduces,pubmed_evidence,0.215111,1
