ingredient_id:ID(Ingredient),inci_name,kor_name,cosing_functions:string[]
AQUA,AQUA,정제수,SOLVENT
GLYCERIN,GLYCERIN,글리세린,DENATURANT;HAIR CONDITIONING;HUMECTANT;ORAL CARE;SKIN PROTECTING;SOLVENT;VISCOSITY CONTROLLING;PERFUMING;FRAGRANCE;SKIN CONDITIONING - HUMECTANT
"1,2-HEXANEDIOL","1,2-HEXANEDIOL","1,2-헥산다이올",SKIN CONDITIONING;SOLVENT
BUTYLENE GLYCOL,BUTYLENE GLYCOL,부틸렌글라이콜,HUMECTANT;FRAGRANCE;SKIN CONDITIONING;SOLVENT;VISCOSITY CONTROLLING
ETHYLHEXYLGLYCERIN,ETHYLHEXYLGLYCERIN,에틸헥실글리세린,DEODORANT;SKIN CONDITIONING
SODIUM HYALURONATE,SODIUM HYALURONATE,소듐하이알루로네이트,HUMECTANT;SKIN CONDITIONING
DISODIUM EDTA,DISODIUM EDTA,다이소듐이디티에이,CHELATING;VISCOSITY CONTROLLING
PANTHENOL,PANTHENOL,덱스판테놀,ANTISTATIC;HAIR CONDITIONING;SKIN CONDITIONING
TOCOPHEROL,TOCOPHEROL,토코페롤,ANTIOXIDANT;FRAGRANCE;SKIN CONDITIONING - MISCELLANEOUS;SKIN CONDITIONING - OCCLUSIVE
PROPANEDIOL,PROPANEDIOL,프로판다이올,SOLVENT;VISCOSITY CONTROLLING
NIACINAMIDE,NIACINAMIDE,나이아신아마이드,SMOOTHING
HYDROGENATED LECITHIN,HYDROGENATED LECITHIN,하이드로제네이티드레시틴,SURFACTANT - EMULSIFYING;SKIN CONDITIONING
CAPRYLIC/CAPRIC TRIGLYCERIDE,CAPRYLIC/CAPRIC TRIGLYCERIDE,카프릴릭/카프릭트라이글리세라이드,FRAGRANCE;SOLVENT;PERFUMING;SKIN CONDITIONING - OCCLUSIVE
ADENOSINE,ADENOSINE,아데노신,SKIN CONDITIONING
XANTHAN GUM,XANTHAN GUM,잔탄검,BINDING;SURFACTANT - EMULSIFYING;EMULSION STABILISING;GEL FORMING;SKIN CONDITIONING;SURFACTANT - CLEANSING;VISCOSITY CONTROLLING
nan,nan,쿠르쿠마 카이시아뿌리추출물,
CAPRYLYL GLYCOL,CAPRYLYL GLYCOL,카프릴릴글라이콜,DEODORANT;SKIN CONDITIONING - EMOLLIENT;HAIR CONDITIONING;SKIN CONDITIONING
DIPROPYLENE GLYCOL,DIPROPYLENE GLYCOL,다이프로필렌글라이콜,FRAGRANCE;SOLVENT;VISCOSITY CONTROLLING;PERFUMING
CITRIC ACID,CITRIC ACID,시트릭애씨드,BUFFERING;CHELATING;FRAGRANCE
PENTYLENE GLYCOL,PENTYLENE GLYCOL,펜틸렌글라이콜,SKIN CONDITIONING;SOLVENT
TROMETHAMINE,TROMETHAMINE,트로메타민,BUFFERING;FRAGRANCE
CERAMIDE NP,CERAMIDE NP,세라마이드엔피,HAIR CONDITIONING;SKIN CONDITIONING - MISCELLANEOUS
ALLANTOIN,ALLANTOIN,알란토인,SKIN CONDITIONING;SKIN PROTECTING;SOOTHING
POLYACRYLIC ACID,POLYACRYLIC ACID,폴리아크릴릭애씨드,BINDING;EMULSION STABILISING;FILM FORMING;VISCOSITY CONTROLLING
HYDROLYZED HYALURONIC ACID,HYDROLYZED HYALURONIC ACID,하이드롤라이즈드하이알루로닉애씨드,HAIR CONDITIONING;HUMECTANT;SKIN CONDITIONING
ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,EMULSION STABILISING;FILM FORMING;VISCOSITY CONTROLLING
CENTELLA ASIATICA LEAF/STEM EXTRACT,CENTELLA ASIATICA LEAF/STEM EXTRACT,병풀잎/줄기추출물,SKIN CONDITIONING - HUMECTANT
HYALURONIC ACID,HYALURONIC ACID,하이알루로닉애씨드,ANTISTATIC;HUMECTANT;MOISTURISING;SKIN CONDITIONING
BETAINE,BETAINE,베타인,HAIR CONDITIONING;HUMECTANT;SKIN CONDITIONING - HUMECTANT
ARGININE,ARGININE,알지닌,ANTISTATIC;HAIR CONDITIONING;FRAGRANCE;SKIN CONDITIONING
GLYCERYL STEARATE,GLYCERYL STEARATE,글리세릴스테아레이트,SKIN CONDITIONING - EMOLLIENT;SURFACTANT - EMULSIFYING
LIMONENE,LIMONENE,리모넨,DEODORANT;SOLVENT;PERFUMING
